username,user_id,user_watching,user_completed,user_onhold,user_dropped,user_plantowatch,user_days_spent_watching,gender,location,birth_date,access_rank,join_date,last_online,stats_mean_score,stats_rewatched,stats_episodes
karthiga,2255153,3,49,1,0,0,55.31,Female,"Chennai, India ",1990-04-29,,2013-03-03,2014-02-04 01:32:00,7.43,0.0,3391.0
RedvelvetDaisuki,1897606,61,396,39,0,206,118.07,Female,Manila,1995-01-01,,2012-12-13,1900-05-13 02:47:00,6.78,80.0,7094.0
Damonashu,37326,45,195,27,25,59,83.7,Male,"Detroit,Michigan",1991-08-01,,2008-02-13,1900-03-24 12:48:00,6.15,6.0,4936.0
bskai,228342,25,414,2,5,11,167.16,Male,"Nayarit, Mexico",1990-12-14,,2009-08-31,2014-05-12 16:35:00,8.27,1.0,10081.0
shuzzable,2347781,36,72,16,2,25,35.48,Unknown,,,,2013-03-25,2015-09-09 21:54:00,9.06,7.0,2154.0
Bas_G,5015094,35,114,6,20,175,30.81,Male,"Nijmegen, Nederland",1999-10-24,,2015-11-26,1900-05-10 13:53:00,7.86,0.0,1847.0
sprite1989,102436,2583,102,0,0,22,30.86,Male,,1989-07-29,,2008-10-06,2017-10-30 05:26:00,8.49,0.0,1829.0
thetreedude,28328,11,703,27,29,79,206.68,Male,California,,,2007-12-29,2017-09-10 19:04:00,7.23,9.0,12458.0
Heihouka,12489,8,69,0,8,0,112.73,Male,,,,2007-09-06,2015-08-30 04:36:00,8.21,29.0,6871.0
HimeAria,3129315,2,87,2,0,28,20.12,Female,Poland,1996-09-26,,2013-09-08,1900-04-27 10:52:00,8.23,0.0,1314.0
Slimak,61677,79,224,0,3,84,126.17,Male,Poland,1988-02-21,,2008-05-18,1900-05-01 05:04:00,7.77,2.0,7472.0
MistButterfly,2485327,66,3923,115,0,368,614.96,Female,~ Hungary ~,1992-01-16,,2013-04-25,2018-05-17 13:31:00,5.49,0.0,39893.0
BadAngel,15865,3,20,0,0,5,21.34,Male,,1991-06-14,,2007-10-03,2017-05-31 15:52:00,8.71,23.0,1234.0
Not_Rijad,4980716,1,99,5,2,14,52.78,Unknown,Where even am I,,,2015-11-07,1900-05-10 17:59:00,8.02,0.0,3217.0
